question,references,corpus_id
蔡世惠教師的兒童文學與閱讀課程的評量方式為何？,"[{""content"": ""rights and do not illegally photocopy textbooks. ※ 教學方法 Teaching Method 教學方法Teaching Method 百分比Percentage 文本閱讀、討論 40 % 參與並完成實作作業 30 % 個別進行文本內容議題之分析 15 % 小組進行主題探討及口頭報告 15 % 總和 Total 100 % "", ""start_index"": 3206, ""end_index"": 3393}, {""content"": ""成績評量方式 Grading 評量方式Grading 百分比Percentage 期末作業 30 % 課堂實作作業 30 % 課堂參與 40 % 總和 Total 100 % 成績評量方式補充說明 課程大綱補充資料 Supplementary Material of Course Syllabus"", ""start_index"": 3393, ""end_index"": 3542}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_通識教育中心_兒童文學與閱讀[106142]_蔡世惠.html
謝凱隆老師的網路資料探勘與分析課程的評量方式為何？,"[{""content"": ""Method 教學方法Teaching Method 百分比Percentage 講述 50 % 討論 30 % 作業 20 % 總和 Total 100 % 成績評量方式 Grading 評量方式Grading 百分比Percentage 出席狀況 20 % 作業撰寫 20 % 參與討論 20 % 期中考 20 % 小組報告 20 % 總和 Total 100 % "", ""start_index"": 3469, ""end_index"": 3654}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_通識教育中心_網路資料探勘與分析[106209]_謝凱隆.html
林秀珍教師的臺灣原住民文學課程的評量方式為何？,"[{""content"": ""百分比Percentage 講述 50 % 討論 50 % 總和 Total 100 % 成績評量方式 Grading 評量方式Grading 百分比Percentage 期中考 35 % 個人書面報告 35 % 心得撰寫 10 % 課堂參與 10 % 出席狀況 10 % 總和 Total 100 % 成績評量方式補充說明 課程大綱補充資料 Supplementary Material "", ""start_index"": 2983, ""end_index"": 3178}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_通識教育中心_臺灣原住民文學[106130]_林秀珍.html
聯合國永續發展目標課程的學習目標為何？,"[{""content"": ""This course is designed to enhance freshmen’s English-language skills by providing a variety of practices in extensive speaking, listening, reading and writing with a focus on vocabulary and "", ""start_index"": 743, ""end_index"": 934}, {""content"": ""This course is designed to enhance freshmen’s English-language skills by providing a variety of practices in extensive speaking, listening, reading and writing with a focus on vocabulary and "", ""start_index"": 743, ""end_index"": 934}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_通識教育中心_英文B(二)[106005]_林姿汶.html
黃麗金教師的理財規劃課程中，什麼是主要的學習目標？,"[{""content"": ""Objectives 教學目標：1. 讓理財規劃與人生過程相互結合.2. 對市場上理財商品有初步的認識及了解.3. 理財規劃商品及市場介紹.4. 理財相關書籍導讀及報告心得分享.課程大綱：1.理財規劃基本意義．讀書心得報告相關書籍介紹2.理財規劃基本概念.3.了解股票及股市及理財投資策略的應用.4.理財規劃商品介紹及規劃實務案例-1.5.理財規"", ""start_index"": 761, ""end_index"": 934}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_通識教育中心_理財規劃[106152]_黃麗金.html
物聯網應用課程的主要學習目標為何？,"[{""content"": ""Objectives 1、物聯網是由實際物體，如汽車、家用電器等等，透過嵌入式感測器和 使用者介面，利用網際網路所形成的訊息連結與交換網路。2、所以本門課程目標為讓同學具備常用而且有趣的電腦與裝置的連結，例如由電腦或手機來控制家用電器。或是利用手機的APP來控制實體電扇，家用燈具等，讓生活數位化的功能透過有趣的課程來實現。3、本課程具備進階版的Arduino工具箱，可以讓同學感受到人工智慧與程式寫作結合的未來趨勢。(Arduino就是物聯網的標準訓練工具）4、本課程由於是中文版介面，具備完全步驟操作解說，讓同學輕鬆學會寫程式與控制燈具以及馬達還有各種展示設備，課程有完整PPT與錄影，同學可以透過此課程來體驗新的物聯網的智慧生活。 先修 ( 前置 ) 課程 "", ""start_index"": 765, ""end_index"": 1097}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_通識教育中心_物聯網應用[106208]_邱聰倚.html
王琅教師的中國文學專題研究(二)課程的主要學習目標為何？,"[{""content"": ""終結貧窮：消除各地一切形式的貧窮 SDGs 04. 優質教育：確保有教無類、公平以及高品質的教育，及提倡終身學習 課程目標 Learning Objectives 一.教學目標： 1.瞭解中國文學的特質與發展過程2.探討歷代作家與作品在文學史上的地位3.從反思、批判進行對話，呈現詮釋視域的轉向過程。二.教材內容：1.析論歷代文學與作家2.探討各種文體發展的過程及其規律3.論評歷"", ""start_index"": 671, ""end_index"": 861}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_國語文學系_中國文學專題研究(二)[222005]_王琅.html
陳昭吟老師的女性文學(二)課程的學習目標為何?,"[{""content"": ""本課程擬由女性散文的文本閱讀，進入情感教育的思辯探討。女性書寫慣常以幽微的心思、柔美的意象組構文學境界，偏向使用感官的摹寫、跳躍的時間感、戀物的空間鋪排、小細節的瑣碎意義等手法，這些書寫美學皆迥異於男性特質，希望從性別視角的設定，觀看彼此敘事與情感思維的差異，從而在性平意識的理解實踐中，更具有正向開放的情感態度。 1. "", ""start_index"": 689, ""end_index"": 850}, {""content"": ""透過閱讀女性書寫，挖掘女性散文中獨特而豐繁的樣貌，窺探女性的生活、情感與思維，審視一個更為深刻且貼近內在的兩性思考對話空間。2. 女性書寫於男性大論述的定義之下，偏於邊緣性地位，讓學生試著感受另一種書寫的美感經驗，使其在原有閱讀習慣中跳脫出來，擁有更寬廣的閱讀視野，更多元的人文接受空間。3. "", ""start_index"": 850, ""end_index"": 997}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_國語文學系_女性文學(二)[122103]_陳昭吟.html
邱敏捷教師的專題研究與成果發表(二)課程的學生評量方式有哪些?,"[{""content"": ""（三）論文習作。三、實施方法： (一)老師講授。 (二)實際寫作。（三）共同討論。（四）個別指導。四、評量方式： (一)平時書面論文討論。 (二)期末書面論文完成。 先修 ( 前置 ) 課程 Prerequisite 彈性教學規劃 Flexible Teaching/Planning Schedules 課程大綱 Course Syllabus 週次Week 課程單元大綱Unit "", ""start_index"": 869, ""end_index"": 1061}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_國語文學系_專題研究與成果發表(二)[122096]_邱敏捷.html
龔韻蘅老師的中國古代寓言課程中，學生將學習哪些重要的命題?,"[{""content"": ""1.全部課程分為「對寓言本身的討論」(第一~第二單元)以及「寓言挾帶的哲理」(第三~第八單元)兩大部分：前者從歷史及文學的角度切入，解釋寓言體的流變與特徵，先由世界共通的定義開始講述，再逐漸集中到中國相關文本上，使學生對此表達形式有完整的瞭解；後者從哲學的角度切入，探討中國古代寄附於寓言體的幾個重要命題，使學生對各時期的思想有較為深刻的體認。 2. "", ""start_index"": 857, ""end_index"": 1033}, {""content"": ""相關文本上，使學生對此表達形式有完整的瞭解；後者從哲學的角度切入，探討中國古代寄附於寓言體的幾個重要命題，使學生對各時期的思想有較為深刻的體認。 2. 第四~第八單元以中國古代寓言為主要內容，必要時則加入西方寓言或現代小說來刺激學生的思考。 先修 ( 前置 ) 課程 Prerequisite 彈性教學規劃 Flexible "", ""start_index"": 957, ""end_index"": 1120}]",chunking_evaluation/evaluation_framework/general_evaluation_data/corpora/113_2_國語文學系_中國古代寓言[122108]_龔韻蘅.html
